"Sweep - Function 1" 
"Frequency vs Frequency"
"X (Hz)","Ch-1 (Hz)"
70452.4853228963,70452.5078125
70609.0019569472,70609.0078125
70765.5185909981,70765.5078125
70922.0352250489,70922.0390625
71078.5518590998,71078.5625
71235.0684931507,71235.078125
71391.5851272016,71391.59375
71548.1017612525,71548.1171875
71704.6183953033,71704.625
71861.1350293542,71861.125
72017.6516634051,72017.6640625
72174.168297456,72174.1796875
72330.6849315069,72330.703125
72487.2015655577,72487.203125
72643.7181996086,72643.734375
72800.2348336595,72800.234375
72956.7514677104,72956.7734375
73113.2681017613,73113.265625
73269.7847358121,73269.796875
73426.301369863,73426.3125
73582.8180039139,73582.8359375
73739.3346379648,73739.34375
73895.8512720157,73895.8671875
74052.3679060665,74052.375
74208.8845401174,74208.8828125
74365.4011741683,74365.421875
74521.9178082192,74521.9296875
74678.4344422701,74678.4375
74834.9510763209,74834.9609375
74991.4677103718,74991.4921875
75147.9843444227,75148.0078125
75304.5009784736,75304.4921875
75461.0176125245,75461.0234375
75617.5342465753,75617.515625
75774.0508806262,75774.0703125
75930.5675146771,75930.578125
76087.084148728,76087.078125
76243.6007827789,76243.6015625
76400.1174168298,76400.9296875
76556.6340508806,76556.640625
76713.1506849315,76713.15625
76869.6673189824,76869.6640625
77026.1839530333,77026.1953125
77182.7005870842,77182.71875
77339.217221135,77339.2265625
77495.7338551859,77495.71875
77652.2504892368,77652.2421875
77808.7671232877,77808.7734375
77965.2837573386,77965.28125
78121.8003913894,78121.8046875
78278.3170254403,78278.3046875
78434.8336594912,78434.8359375
78591.3502935421,78591.3671875
78747.866927593,78747.859375
78904.3835616438,78904.375
79060.9001956947,79060.890625
79217.4168297456,79217.421875
79373.9334637965,79373.8984375
79530.4500978474,79530.453125
79686.9667318982,79686.9609375
79843.4833659491,79843.484375
80000,79999.984375

"Sweep - Function 2" 
"Vac vs Frequency"
"X (Hz)","Ch-1 (dBV)"
20,13.935533518592
176.516634050881,13.9170646999449
333.033268101761,13.8359148873961
489.549902152642,13.7125225964983
646.066536203523,13.5519001867212
802.583170254403,13.3598309143085
959.099804305284,13.1413523494247
1115.61643835616,12.9000764733581
1272.13307240705,12.6408863286824
1428.64970645793,12.3667656374616
1585.16634050881,12.082316956321
1741.68297455969,11.7900834530871
1898.19960861057,11.492445056435
2054.71624266145,11.1920418034638
2211.23287671233,10.8910761504886
2367.74951076321,10.5904931092359
2524.26614481409,10.2914128633844
2680.78277886497,9.99541612305654
2837.29941291585,9.7022192088562
2993.81604696673,9.41342329328586
3150.33268101761,9.12974351193843
3306.84931506849,8.85000350651137
3463.36594911937,8.57489411380305
3619.88258317025,8.30641484112092
3776.39921722114,8.02245047243228
3932.91585127202,7.78355767959019
4089.4324853229,7.52907068731911
4245.94911937378,7.28028518289869
4402.46575342466,7.03655033398923
4558.98238747554,6.79830326161151
4715.49902152642,6.5639837925269
4872.0156555773,6.33493432710531
5028.53228962818,6.11066083428134
5185.04892367906,5.89160967241336
5341.56555772994,5.67677980971309
5498.08219178082,5.46610837711019
5654.5988258317,5.25915489765855
5811.11545988258,5.05642989303392
5967.63209393346,4.85785652628923
6124.14872798434,4.66320793562037
6280.66536203523,4.4716366334715
6437.18199608611,4.28374656788308
6593.69863013699,4.09912671025218
6750.21526418787,3.9183310035362
6906.73189823875,3.74096034372312
7063.24853228963,3.56621952467407
7219.76516634051,3.39498312645035
7376.28180039139,3.22686044899566
7532.79843444227,3.06110673213248
7689.31506849315,2.89831598384767
7845.83170254403,2.73806940507652
8002.34833659491,2.58031240241522
8158.86497064579,2.42516186295942
8315.38160469667,2.27199905417284
8471.89823874756,2.10157790421293
8628.41487279844,1.97353119893817
8784.93150684932,1.82766973802568
8941.4481409002,1.68477279428135
9097.96477495108,1.54410166003428
9254.48140900196,1.40436924883579
9410.99804305284,1.26625777642129
9567.51467710372,1.13096217680584
9724.0313111546,0.997386152623658
9880.54794520548,0.865486692006478
10037.0645792564,0.735384459656114
10193.5812133072,0.607449687482788
10350.0978473581,0.481972238178962
10506.614481409,0.357450235326529
10663.1311154599,0.234404356503717
10819.6477495108,0.113053701833619
10976.1643835616,-0.0077122642406826
11132.6810176125,-0.125709330690934
11289.1976516634,-0.242461504872397
11445.7142857143,-0.358639502468916
11602.2309197652,-0.473065231862006
11758.747553816,-0.585580244126647
11915.2641878669,-0.696632010876547
12071.7808219178,-0.807033327665615
12228.2974559687,-0.916239621321321
12384.8140900196,-1.02444193119692
12541.3307240705,-1.13086485852247
12697.8473581213,-1.23620981607339
12854.3639921722,-1.34072435201047
13010.8806262231,-1.44433869325753
13167.397260274,-1.5466728250028
13323.9138943249,-1.64795789263387
13480.4305283757,-1.74811910993536
13636.9471624266,-1.84736721824892
13793.4637964775,-1.94610541877222
13949.9804305284,-2.04308660359629
14106.4970645793,-2.13943867371623
14263.0136986301,-2.23481891191872
14419.530332681,-2.32929748506914
14576.0469667319,-2.42301309396192
14732.5636007828,-2.51579122287106
14889.0802348337,-2.60791073615536
15045.5968688845,-2.69924021123217
15202.1135029354,-2.78931151699054
15358.6301369863,-2.87885244933167
15515.1467710372,-2.96732522789951
15671.6634050881,-3.05500752135283
15828.1800391389,-3.14199157987064
15984.6966731898,-3.22780431104932
16141.2133072407,-3.31383866004533
16297.7299412916,-3.39921751122445
16454.2465753425,-3.48356881052299
16610.7632093933,-3.5679290858087
16767.2798434442,-3.65103480645313
16923.7964774951,-3.73302552941747
17080.313111546,-3.81486258271522
17236.8297455969,-3.91568888138906
17393.3463796478,-3.97645373458356
17549.8630136986,-4.05750531036981
17706.3796477495,-4.13634252807672
17862.8962818004,-4.21538539892636
18019.4129158513,-4.29360339638098
18175.9295499022,-4.37149930395481
18332.446183953,-4.44865620724683
18488.9628180039,-4.5258935298854
18645.4794520548,-4.60226356323771
18801.9960861057,-4.67817982867692
18958.5127201566,-4.75383022552004
19115.0293542074,-4.82897261298421
19271.5459882583,-4.90292057605034
19428.0626223092,-4.97707836249246
19584.5792563601,-5.05115143982266
19741.095890411,-5.12446810153307
19897.6125244618,-5.19710442950711
20054.1291585127,-5.26941690069395
20210.6457925636,-5.34055825903635
20367.1624266145,-5.41145400931947
20523.6790606654,-5.4824173614604
20680.1956947162,-5.55265240760433
20836.7123287671,-5.62268256837378
20993.228962818,-5.69246830855027
21149.7455968689,-5.7615418132972
21306.2622309198,-5.83048621967276
21462.7788649706,-5.89910103917983
21619.2954990215,-5.96749650053044
21775.8121330724,-6.03580517154048
21932.3287671233,-6.10374680673304
22088.8454011742,-6.17174256372872
22245.3620352251,-6.23847444800893
22401.8786692759,-6.30521101530991
22558.3953033268,-6.37110529250591
22714.9119373777,-6.43628775114085
22871.4285714286,-6.50198276642984
23027.9452054795,-6.56667709458284
23184.4618395303,-6.63009014109329
23340.9784735812,-6.69302021561531
23497.4951076321,-6.75616500331031
23654.011741683,-6.81951110700841
23810.5283757339,-6.8830075430516
23967.0450097847,-6.9466714930436
24123.5616438356,-7.01019107262293
24280.0782778865,-7.07358477616872
24436.5949119374,-7.13782902783382
24593.1115459883,-7.202013400629
24749.6281800391,-7.2665357635651
24906.14481409,-7.33057054421173
25062.6614481409,-7.39419549562426
25219.1780821918,-7.45748846694463
25375.6947162427,-7.52095743624829
25532.2113502935,-7.58344009591679
25688.7279843444,-7.64500466586491
25845.2446183953,-7.7064485983762
26001.7612524462,-7.76864557918155
26158.2778864971,-7.83164126201819
26314.7945205479,-7.89549869211029
26471.3111545988,-7.95462305329158
26627.8277886497,-8.00824031087492
26784.3444227006,-8.06485513550827
26940.8610567515,-8.12721792564337
27097.3776908024,-8.19144477992184
27253.8943248532,-8.25511883582494
27410.4109589041,-8.31823041275765
27566.927592955,-8.38149885044022
27723.4442270059,-8.44443146582316
27879.9608610568,-8.50705269492064
28036.4774951076,-8.56958224780101
28192.9941291585,-8.63246800715233
28349.5107632094,-8.69510724747433
28506.0273972603,-8.7583689530028
28662.5440313112,-8.82143079300055
28819.060665362,-8.88481847637293
28975.5772994129,-8.94812024090883
29132.0939334638,-9.01110067818527
29288.6105675147,-9.07452787183112
29445.1272015656,-9.1381718310481
29601.6438356164,-9.20199210168257
29758.1604696673,-9.26641792431039
29914.6771037182,-9.33115313656153
30071.1937377691,-9.39523212425295
30227.71037182,-9.45958275011538
30384.2270058708,-9.52424087056476
30540.7436399217,-9.58905443416932
30697.2602739726,-9.65441505649112
30853.7769080235,-9.72002314977641
31010.2935420744,-9.78629031883491
31166.8101761252,-9.85309511862122
31323.3268101761,-9.92833379685438
31479.843444227,-9.97838519311416
31636.3600782779,-10.0472321508014
31792.8767123288,-10.1163321626573
31949.3933463796,-10.1864521396664
32105.9099804305,-10.2578544707544
32262.4266144814,-10.3292500635667
32418.9432485323,-10.402264466043
32575.4598825832,-10.4746640194626
32731.9765166341,-10.5473730776448
32888.4931506849,-10.6187003128064
33045.0097847358,-10.6887162743492
33201.5264187867,-10.7581577827668
33358.0430528376,-10.830114990942
33514.5596868885,-10.9065087166851
33671.0763209393,-10.98605583827
33827.5929549902,-11.0680144682557
33984.1095890411,-11.1525389911792
34140.626223092,-11.2379309475288
34297.1428571429,-11.3253692443218
34453.6594911937,-11.4148951092808
34610.1761252446,-11.5069091181806
34766.6927592955,-11.6007635894449
34923.2093933464,-11.6979222556334
35079.7260273973,-11.797209877601
35236.2426614481,-11.8995309695894
35392.759295499,-12.0057226598176
35549.2759295499,-12.1154361362022
35705.7925636008,-12.2289456573504
35862.3091976517,-12.3475732411493
36018.8258317025,-12.4710458334291
36175.3424657534,-12.6006191018774
36331.8590998043,-12.7365703470953
36488.3757338552,-12.8789509716512
36644.8923679061,-13.0293342384661
36801.4090019569,-13.1889024399634
36957.9256360078,-13.3583540245427
37114.4422700587,-13.5399367058437
37270.9589041096,-13.7348141577203
37427.4755381605,-13.9443751209086
37583.9921722114,-14.170969409794
37740.5088062622,-14.4171106403322
37897.0254403131,-14.6856608515318
38053.542074364,-14.9803154730255
38210.0587084149,-15.3032259937607
38366.5753424658,-15.6574564614779
38523.0919765166,-16.045401672838
38679.6086105675,-16.4654108570556
38836.1252446184,-16.9101464341762
38992.6418786693,-17.3514145483383
39149.1585127202,-17.743271064486
39305.675146771,-18.0256409646446
39462.1917808219,-18.1383620756085
39618.7084148728,-18.0491920733924
39775.2250489237,-17.7444719279218
39931.7416829746,-17.1719668181339
40088.2583170254,-16.3141330142288
40244.7749510763,-15.1958710763713
40401.2915851272,-13.9033938155417
40557.8082191781,-12.5655939382573
40714.324853229,-11.2845143644868
40870.8414872798,-10.143103846016
41027.3581213307,-9.1954591718152
41183.8747553816,-8.45680121899493
41340.3913894325,-7.91663594042571
41496.9080234834,-7.52773862344038
41653.4246575342,-7.30357453285635
41809.9412915851,-7.19784633003368
41966.457925636,-7.22292160352453
42122.9745596869,-7.34709596964907
42279.4911937378,-7.53086815097726
42436.0078277887,-7.75166187186153
42592.5244618395,-7.99714271516855
42749.0410958904,-8.24616878644773
42905.5577299413,-8.49913608678055
43062.0743639922,-8.74728009503399
43218.5909980431,-8.98918344196294
43375.1076320939,-9.22453526171301
43531.6242661448,-9.45060535419449
43688.1409001957,-9.67186488233381
43844.6575342466,-9.89378165690997
44001.1741682975,-10.0813618483276
44157.6908023483,-10.278066253534
44314.2074363992,-10.4677804880786
44470.7240704501,-10.6493857090276
44627.240704501,-10.8257234885028
44783.7573385519,-10.9976847033379
44940.2739726027,-11.1641375220056
45096.7906066536,-11.3294665614497
45253.3072407045,-11.4974239794504
45409.8238747554,-11.6686794179133
45566.3405088063,-11.8400532331543
45722.8571428571,-12.0116810190485
45879.373776908,-12.1846555507378
46035.8904109589,-12.3557885142237
46192.4070450098,-12.5230248463446
46348.9236790607,-12.6857947706886
46505.4403131115,-12.849489375734
46661.9569471624,-13.0215012318489
46818.4735812133,-13.205093898963
46974.9902152642,-13.4017053723332
47131.5068493151,-13.6107014618502
47288.023483366,-13.8318382122406
47444.5401174168,-14.0667119303147
47601.0567514677,-14.3165979138523
47757.5733855186,-14.5812692210983
47914.0900195695,-14.8620387344915
48070.6066536204,-15.1633242991777
48227.1232876712,-15.4875447914475
48383.6399217221,-15.8381833503
48540.156555773,-16.2221478631978
48696.6731898239,-16.6444985556343
48853.1898238748,-17.11388260712
49009.7064579256,-17.6409622021903
49166.2230919765,-18.2393787723389
49322.7397260274,-18.9263082748595
49479.2563600783,-19.7208421838126
49635.7729941292,-20.6373091694777
49792.28962818,-21.6458467370504
49948.8062622309,-22.5699443968366
50105.3228962818,-23.1482511786043
50261.8395303327,-23.428468942999
50418.3561643836,-23.6534798075621
50574.8727984344,-23.3917653371983
50731.3894324853,-22.4060249205615
50887.9060665362,-20.7930178488848
51044.4227005871,-18.5251708632883
51200.939334638,-15.9533277954669
51357.4559686889,-13.3734113223939
51513.9726027397,-10.8343140718299
51670.4892367906,-8.29566835127547
51827.0058708415,-5.69189502254664
51983.5225048924,-3.02279764331541
52140.0391389433,-0.294548400369251
52296.5557729941,2.03310918824997
52453.072407045,3.20034267692569
52609.5890410959,2.84272933970071
52766.1056751468,1.66466944107985
52922.6223091977,0.35185692860821
53079.1389432485,-0.839901981712005
53235.6555772994,-1.8637966313145
53392.1722113503,-2.73586197931496
53548.6888454012,-3.48111435470807
53705.2054794521,-4.14461406475184
53861.7221135029,-4.6865871037436
54018.2387475538,-5.17921491117471
54174.7553816047,-5.61667305938924
54331.2720156556,-6.00859401893811
54487.7886497065,-6.36157654946821
54644.3052837573,-6.68202563544455
54800.8219178082,-6.97418521847213
54957.3385518591,-7.23960846388454
55113.85518591,-7.48022065062133
55270.3718199609,-7.70003717529263
55426.8884540117,-7.90230040315196
55583.4050880626,-8.08605707771863
55739.9217221135,-8.25231631069119
55896.4383561644,-8.41083957538591
56052.9549902153,-8.56891436247378
56209.4716242662,-8.7220896230584
56365.988258317,-8.87093804174706
56522.5048923679,-9.01488621676501
56679.0215264188,-9.15182032680759
56835.5381604697,-9.28155363849527
56992.0547945206,-9.40442530582854
57148.5714285714,-9.52134612127725
57305.0880626223,-9.64094300288952
57461.6046966732,-9.73040634748479
57618.1213307241,-9.83254807930086
57774.637964775,-9.93048143184599
57931.1545988258,-10.02452675339
58087.6712328767,-10.1155755790155
58244.1878669276,-10.2037265104113
58400.7045009785,-10.2895366438474
58557.2211350294,-10.3730996871384
58713.7377690802,-10.4541099833626
